Mes en que nos conocimos,Profesión,Nombre,Lugar,E-mail
Enero,Periodista,Billie Jean,UVG,bjean@nuspeiper.com.gt
Enero,Estudiante,Pedro Navaja,UVG,nav99090@uvg.edu.gt
Abril,Piloto,Mr. Brown,Uber,brown.clown@gmail.com
Julio,Cosmetólogo,Alberto Balsalm,Intecap,alberto@vo5.com
Septiembre,Cuentacuentos,Mr. Jones,Fiesta,mrjones@thebar.com
Octubre,Cantante,Barbra Streisand,UVG,barbrastreisand@uuuuuuuuuu.net
Octubre,Doctor,Dr. Feelgood,Fiesta,drfg@jimmystown.org
Febrero,Profesora,Angie,UVG,arocha@uvg.edu.gt
Febrero,Comediante,Buddy Holly,Cine,bholly@gmail.com
Marzo,Conserje,Baba O'Reiley,UVG,bb@teenagewasteland.com
Mayo,Cazarrecompensas,Leroy Brown,Fiesta,badbad@leroybrown.org
Junio,Músico,Cotton-Eyed Joe,Viaje,wheredidyoucomefromwheredidyougo@gmail.com
Octubre,Patrullero,Jack The Ripper,Viaje,sin correo
Enero,Policía,Johnny B. Good,Cine,bgood@pnc.gov
Abril,Pescador,Jimmy Tiro en el Pie,Viaje,jimmyandmary@hotmail.com
Septiembre,Bailarina,Suzie Q.,Fiesta,ohsuzie@gmail.com
Agosto,Paramédica,Miss Murder,UVG,mmurder@afi.com
Septiembre,Militar,Mr. Lonely,UVG,sin correo
Abril,Balarín,Mr. Saxobeat,Fiesta,ms@alexandrastan.com
Junio,Diputado,Sr. Cobranza,UVG,sin correo
Enero,Pastor,Jesús de Chamberí,Iglesia,palabra@toleranciaygolpesdeamor.org
Febrero,Joyera,Lady Clandestine Chainbreaker,Centro Comercial,ldc@dso.com
Octubre,Psíquica,Ada Deane,Cementerio,sin correo
Marzo,Artista,Joseph Merrick,Circo,sin correo
Enero,Marinero,Leif Erikson,Viaje,sin correo
Agosto,Doctor,Dr. Mike Alon,Hospital,alon@dontrunaway.net
Mayo,Estudiante,Carrie,Colegio,todorojo@gmail.com
Julio,Monja,Layla,Iglesia,onurknees@easeurmind.org
Febrero,Actriz,Lorelei,UVG,mariposa@gmail.com
Marzo,Vigilante,Sinéad,Fiesta,sin correo
Febrero,Estudiante,Suzy,UVG,heavensnotaboveyou@hotmail.com
Marzo,Cantante,Juliana,Fiesta,quemalaeres@gmail.com
Marzo,Panadera,Magdalena,Intecap,quimbara@quimbara.net
Marzo,Coreógrafa,Magalenha,Fiesta,sin correo
Mayo,Paracaidista,Geronimo,Viaje,heygeronimo@bombsaway.com
Mayo,Psíquica,Bendecida,Viaje,causa@fortuna.com
Febrero,Cantante,Marvin Gaye,Fiesta,sin correo
Octubre,Ocultista,Kelpie,UVG,damadelamanecer@yahoo.com
Junio,Cantante,Johnny Belinda,Concierto,sin correo
Julio,Modelo,Salomé,Fiesta,salome.i.ye@hotmail.com
Febrero,Finquera,Santa Maria de Feira,Fiesta,sin correo
Marzo,Cantante,Sirius,Concierto,sin correo
Febrero,Modelo,Donna,Fiesta,ooh@donna.net
Agosto,Escritor,Stan,Colegio,iloveuslim@yahoo.com
Agosto,Mago,Houdini,Colegio,focusonyourability@gmail.com
Abril,Modelo,Iris,Fiesta,iris@cityofangels.com
Enero,Químico,Mr. Brownstone,Concierto,brownstone@neverletugo.com
Enero,Doctor,Dr. Stein,Hospital,franken@stein.com
Enero,Bombero,Alejandro,Hospital,alealejandro@gmail.com
Mayo,Astronauta,Claudia Lewis,UVG,sin correo
Junio,Deportista,Steve McQueen,UVG,fastmachine@memphis2hollywood.com
Septiembre,Ocultista,Xanandra,UVG,xanandra@hechizospocimasybrujeria.com
Septiembre,Granjera,Maritormes,Viaje,mozaasturiana@gmail.com
Octubre,Artista,Dalí,Iglesia,eungenio@gmail.com
Marzo,Marinero,Nemo,Viaje,nemo@mynameforevermore.com
Enero,Estudiante,Jeremy,Colegio,sin correo
Enero,Albañil,Jericho,Trabajo,thewallsofjericho@hotmail.com
Marzo,Doctora,Gloria,Hospital,gloooooooria@medicos.net
Mayo,Comediante,Cecilia,Fiesta,heartbreakr@gmail.com
Julio,Química,Juliet,Trabajo,jonly@jandr.com
Junio,Impresionista,Tallulah,Fiesta,ilovedrummers@hotmail.com
Agosto,Doctora,Rosanna,Hospital,rosanna@rosanna.com
PRUEBA,PRUEBA,PRUEBA,PRUEBA,prueba@prueba.com
